Ticker,Avg_Sentiment,Count_Positive,Count_Negative,Count_Neutral,Headlines
AAPL,0.02,10,9,31,50
AMZN,-0.04,12,14,24,50
ARM,-0.08108108108108109,7,10,20,37
GOOGL,-0.02,8,9,33,50
META,-0.26,5,18,27,50
MSFT,0.06,8,5,37,50
NVDA,-0.037037037037037035,4,5,18,27
SMCI,0.0,12,12,23,47
SOFI,0.24,17,5,28,50
TSLA,-0.2,11,21,18,50
